List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	5	1	0.654653670707977
2	2	1	-0.377964473009227
3	1	1	0.654653670707977
1	6	2	0.654653670707977
2	3	2	-0.534522483824848
3	2	2	0.534522483824849
1	7	3	0.654653670707977
2	4	3	-0.654653670707977
3	3	3	0.377964473009227
1	8	4	0.717137165600636
2	6	4	-0.097590007294853
3	5	4	0.138013111868471
4	3	4	-0.276026223736942
5	2	4	0.390360029179413
6	1	4	-0.478091443733757
1	9	5	0.717137165600636
2	7	5	-0.138013111868471
3	6	5	0.097590007294853
4	4	5	-0.478091443733757
5	3	5	0.390360029179413
6	2	5	-0.276026223736942
1	10	6	0.621059003408118
2	9	6	0.207019667802706
3	8	6	-0.207019667802706
4	7	6	-0.345032779671177
5	6	6	0.345032779671177
6	5	6	-0.345032779671177
7	4	6	-0.207019667802706
8	3	6	0.207019667802706
9	2	6	-0.207019667802706
10	1	6	0.207019667802706
2	5	7	0.534522483824849
4	2	7	-0.534522483824848
5	1	7	0.654653670707977
2	6	8	0.436435780471985
3	5	8	0.308606699924184
4	3	8	-0.617213399848368
5	2	8	0.218217890235993
6	1	8	0.534522483824849
2	7	9	0.308606699924184
3	6	9	0.436435780471985
4	4	9	-0.534522483824849
5	3	9	-0.218217890235992
6	2	9	0.617213399848368
3	7	10	0.534522483824849
5	4	10	-0.654653670707977
6	3	10	0.534522483824849
2	8	11	0.676123403782813
4	6	11	-0.358568582800318
5	5	11	0.358568582800319
7	3	11	-0.292770021884560
8	2	11	0.338061701891407
9	1	11	-0.292770021884560
2	9	12	0.478091443733758
3	8	12	0.478091443733757
4	7	12	-0.358568582800318
6	5	12	0.358568582800318
7	4	12	-0.358568582800318
8	3	12	0.119522860933439
9	2	12	0.119522860933440
10	1	12	-0.358568582800318
3	9	13	0.676123403782813
5	7	13	-0.358568582800318
6	6	13	0.358568582800318
8	4	13	-0.292770021884560
9	3	13	0.338061701891407
10	2	13	-0.292770021884560
2	10	14	0.717137165600636
4	9	14	-0.138013111868471
5	8	14	0.097590007294853
7	7	14	-0.478091443733757
8	6	14	0.390360029179413
9	5	14	-0.276026223736942
3	10	15	0.717137165600636
5	9	15	-0.097590007294853
6	8	15	0.138013111868471
8	7	15	-0.276026223736942
9	6	15	0.390360029179413
10	5	15	-0.478091443733758
4	5	16	0.377964473009227
7	2	16	-0.654653670707977
8	1	16	0.654653670707977
4	6	17	0.267261241912424
5	5	17	0.267261241912424
7	3	17	-0.654653670707977
9	1	17	0.654653670707977
4	7	18	0.154303349962092
5	6	18	0.308606699924184
6	5	18	0.154303349962092
7	4	18	-0.462910049886275
8	3	18	-0.462910049886275
9	2	18	0.462910049886276
10	1	18	0.462910049886276
5	7	19	0.267261241912424
6	6	19	0.267261241912424
8	4	19	-0.654653670707977
10	2	19	0.654653670707977
6	7	20	0.377964473009227
9	4	20	-0.654653670707977
10	3	20	0.654653670707977
4	8	21	0.534522483824849
7	6	21	-0.654653670707977
8	5	21	0.534522483824849
4	9	22	0.308606699924184
5	8	22	0.436435780471985
7	7	22	-0.534522483824849
8	6	22	-0.218217890235992
9	5	22	0.617213399848368
5	9	23	0.436435780471985
6	8	23	0.308606699924184
8	7	23	-0.617213399848368
9	6	23	0.218217890235993
10	5	23	0.534522483824849
6	9	24	0.534522483824849
9	7	24	-0.534522483824849
10	6	24	0.654653670707977
4	10	25	0.654653670707977
7	9	25	-0.654653670707977
8	8	25	0.377964473009227
5	10	26	0.654653670707977
8	9	26	-0.534522483824849
9	8	26	0.534522483824849
6	10	27	0.654653670707977
9	9	27	-0.377964473009227
10	8	27	0.654653670707977
