List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	8	1	0.447213595499957
2	6	1	-0.365148371670111
3	5	1	0.516397779494322
4	3	1	0.258198889747161
5	2	1	-0.365148371670110
6	1	1	0.447213595499957
1	9	2	0.447213595499958
2	7	2	-0.516397779494322
3	6	2	0.365148371670111
4	4	2	0.447213595499958
5	3	2	-0.365148371670111
6	2	2	0.258198889747161
1	10	3	0.632455532033676
2	9	3	-0.316227766016838
3	8	3	0.316227766016838
7	4	3	0.316227766016838
8	3	3	-0.316227766016838
9	2	3	0.316227766016838
10	1	3	-0.316227766016838
2	8	4	0.258198889747161
4	6	4	-0.365148371670110
5	5	4	0.365148371670111
7	3	4	0.447213595499958
8	2	4	-0.516397779494322
9	1	4	0.447213595499957
2	9	5	0.182574185835055
3	8	5	0.182574185835055
4	7	5	-0.365148371670111
6	5	5	0.365148371670111
7	4	5	0.547722557505166
8	3	5	-0.182574185835055
9	2	5	-0.182574185835055
10	1	5	0.547722557505166
3	9	6	0.258198889747161
5	7	6	-0.365148371670111
6	6	6	0.365148371670111
8	4	6	0.447213595499958
9	3	6	-0.516397779494322
10	2	6	0.447213595499958
2	10	7	0.447213595499958
4	9	7	-0.516397779494322
5	8	7	0.365148371670111
7	7	7	0.447213595499958
8	6	7	-0.365148371670111
9	5	7	0.258198889747161
3	10	8	0.447213595499958
5	9	8	-0.365148371670111
6	8	8	0.516397779494322
8	7	8	0.258198889747161
9	6	8	-0.365148371670111
10	5	8	0.447213595499958
