List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	11	1	-0.612372435695794
2	5	1	0.353553390593273
3	2	1	-0.353553390593274
4	1	1	0.612372435695794
1	12	2	-0.612372435695794
2	6	2	0.353553390593274
3	3	2	-0.500000000000000
4	2	2	0.500000000000000
1	13	3	-0.612372435695794
2	7	3	0.353553390593273
3	4	3	-0.612372435695794
4	3	3	0.353553390593274
1	14	4	-0.612372435695794
2	8	4	0.500000000000000
3	6	4	-0.353553390593274
4	5	4	0.500000000000000
1	15	5	-0.612372435695794
2	9	5	0.500000000000000
3	7	5	-0.500000000000000
4	6	5	0.353553390593274
1	16	6	-0.612372435695795
2	10	6	0.612372435695795
3	9	6	-0.353553390593274
4	8	6	0.353553390593274
1	17	7	-0.707106781186547
2	14	7	0.144337567297407
3	12	7	-0.144337567297407
4	11	7	0.204124145231932
5	8	7	0.204124145231932
6	6	7	-0.204124145231932
7	5	7	0.288675134594813
8	3	7	0.204124145231931
9	2	7	-0.288675134594813
10	1	7	0.353553390593274
1	18	8	-0.707106781186547
2	15	8	0.144337567297406
3	13	8	-0.204124145231932
4	12	8	0.144337567297406
5	9	8	0.204124145231932
6	7	8	-0.288675134594813
7	6	8	0.204124145231931
8	4	8	0.353553390593273
9	3	8	-0.288675134594813
10	2	8	0.204124145231931
1	19	9	-0.707106781186548
2	16	9	0.204124145231931
3	15	9	-0.144337567297407
4	14	9	0.144337567297406
5	10	9	0.353553390593274
6	9	9	-0.288675134594813
7	8	9	0.288675134594813
8	7	9	0.204124145231931
9	6	9	-0.204124145231931
10	5	9	0.204124145231932
1	20	10	-0.670820393249937
2	19	10	-0.074535599249993
3	18	10	0.074535599249993
4	17	10	-0.074535599249993
5	16	10	0.260874597374976
6	15	10	-0.260874597374976
7	14	10	0.260874597374975
8	13	10	0.260874597374975
9	12	10	-0.260874597374975
10	11	10	0.260874597374975
11	10	10	0.111803398874990
12	9	10	-0.111803398874990
13	8	10	0.111803398874989
14	7	10	0.111803398874989
15	6	10	-0.111803398874989
16	5	10	0.111803398874989
17	4	10	-0.111803398874989
18	3	10	0.111803398874990
19	2	10	-0.111803398874990
20	1	10	0.111803398874989
2	11	11	-0.500000000000000
5	5	11	0.500000000000000
6	2	11	-0.353553390593273
7	1	11	0.612372435695794
2	12	12	-0.500000000000000
5	6	12	0.500000000000000
6	3	12	-0.500000000000000
7	2	12	0.500000000000000
2	13	13	-0.500000000000000
5	7	13	0.500000000000000
6	4	13	-0.612372435695794
7	3	13	0.353553390593274
2	14	14	-0.433012701892219
3	12	14	-0.144337567297406
4	11	14	0.204124145231931
5	8	14	0.612372435695795
6	6	14	-0.204124145231931
7	5	14	0.288675134594813
8	3	14	-0.204124145231932
9	2	14	0.288675134594813
10	1	14	-0.353553390593274
2	15	15	-0.433012701892219
3	13	15	-0.204124145231931
4	12	15	0.144337567297406
5	9	15	0.612372435695794
6	7	15	-0.288675134594813
7	6	15	0.204124145231931
8	4	15	-0.353553390593274
9	3	15	0.288675134594813
10	2	15	-0.204124145231932
2	16	16	-0.353553390593274
3	15	16	-0.250000000000000
4	14	16	0.250000000000000
5	10	16	0.612372435695794
8	7	16	-0.353553390593273
9	6	16	0.353553390593274
10	5	16	-0.353553390593274
3	11	17	-0.500000000000000
6	5	17	0.353553390593274
8	2	17	-0.500000000000000
9	1	17	0.612372435695795
3	12	18	-0.408248290463863
4	11	18	-0.288675134594813
6	6	18	0.288675134594813
7	5	18	0.204124145231932
8	3	18	-0.577350269189626
9	2	18	0.204124145231932
10	1	18	0.500000000000000
3	13	19	-0.288675134594813
4	12	19	-0.408248290463863
6	7	19	0.204124145231931
7	6	19	0.288675134594813
8	4	19	-0.500000000000000
9	3	19	-0.204124145231931
10	2	19	0.577350269189626
4	13	20	-0.500000000000000
7	7	20	0.353553390593274
9	4	20	-0.612372435695795
10	3	20	0.500000000000000
3	14	21	-0.500000000000000
6	8	21	0.500000000000000
8	6	21	-0.500000000000001
9	5	21	0.500000000000000
3	15	22	-0.353553390593274
4	14	22	-0.353553390593274
6	9	22	0.353553390593274
7	8	22	0.353553390593274
8	7	22	-0.500000000000001
10	5	22	0.500000000000000
4	15	23	-0.500000000000000
7	9	23	0.500000000000000
9	7	23	-0.500000000000000
10	6	23	0.500000000000000
3	16	24	-0.500000000000000
6	10	24	0.612372435695795
8	9	24	-0.500000000000000
9	8	24	0.353553390593274
4	16	25	-0.500000000000000
7	10	25	0.612372435695795
9	9	25	-0.353553390593274
10	8	25	0.500000000000000
2	17	26	-0.645497224367903
5	14	26	0.365148371670111
6	12	26	-0.258198889747161
7	11	26	0.365148371670111
11	8	26	0.223606797749979
12	6	26	-0.182574185835055
13	5	26	0.258198889747161
14	3	26	0.129099444873580
15	2	26	-0.182574185835056
16	1	26	0.223606797749979
2	18	27	-0.645497224367902
5	15	27	0.365148371670111
6	13	27	-0.365148371670111
7	12	27	0.258198889747161
11	9	27	0.223606797749979
12	7	27	-0.258198889747161
13	6	27	0.182574185835055
14	4	27	0.223606797749979
15	3	27	-0.182574185835055
16	2	27	0.129099444873581
2	19	28	-0.527046276694730
3	18	28	-0.263523138347365
4	17	28	0.263523138347365
5	16	28	0.421637021355784
6	15	28	-0.105409255338946
7	14	28	0.105409255338946
8	13	28	-0.210818510677892
9	12	28	0.210818510677892
10	11	28	-0.210818510677892
11	10	28	0.316227766016838
12	9	28	-0.158113883008419
13	8	28	0.158113883008419
17	4	28	0.158113883008419
18	3	28	-0.158113883008419
19	2	28	0.158113883008419
20	1	28	-0.158113883008419
3	17	29	-0.645497224367903
6	14	29	0.258198889747161
8	12	29	-0.365148371670111
9	11	29	0.365148371670111
12	8	29	0.129099444873581
14	6	29	-0.182574185835056
15	5	29	0.182574185835055
17	3	29	0.223606797749979
18	2	29	-0.258198889747161
19	1	29	0.223606797749979
3	18	30	-0.456435464587638
4	17	30	-0.456435464587638
6	15	30	0.182574185835055
7	14	30	0.182574185835055
8	13	30	-0.365148371670111
10	11	30	0.365148371670111
12	9	30	0.091287092917528
13	8	30	0.091287092917528
14	7	30	-0.182574185835056
16	5	30	0.182574185835055
17	4	30	0.273861278752583
18	3	30	-0.091287092917528
19	2	30	-0.091287092917528
20	1	30	0.273861278752583
4	18	31	-0.645497224367903
7	15	31	0.258198889747161
9	13	31	-0.365148371670111
10	12	31	0.365148371670111
13	9	31	0.129099444873581
15	7	31	-0.182574185835056
16	6	31	0.182574185835055
18	4	31	0.223606797749979
19	3	31	-0.258198889747161
20	2	31	0.223606797749979
3	19	32	-0.645497224367903
6	16	32	0.365148371670111
8	15	32	-0.365148371670111
9	14	32	0.258198889747161
12	10	32	0.223606797749979
14	9	32	-0.258198889747161
15	8	32	0.182574185835055
17	7	32	0.223606797749979
18	6	32	-0.182574185835056
19	5	32	0.129099444873581
4	19	33	-0.645497224367903
7	16	33	0.365148371670111
9	15	33	-0.258198889747162
10	14	33	0.365148371670111
13	10	33	0.223606797749979
15	9	33	-0.182574185835056
16	8	33	0.258198889747161
18	7	33	0.129099444873580
19	6	33	-0.182574185835055
20	5	33	0.223606797749979
2	20	34	-0.707106781186548
5	19	34	0.204124145231931
6	18	34	-0.144337567297407
7	17	34	0.144337567297406
11	16	34	0.353553390593274
12	15	34	-0.288675134594813
13	14	34	0.288675134594813
14	13	34	0.204124145231931
15	12	34	-0.204124145231932
16	11	34	0.204124145231932
3	20	35	-0.707106781186548
6	19	35	0.144337567297406
8	18	35	-0.204124145231932
9	17	35	0.144337567297406
12	16	35	0.204124145231932
14	15	35	-0.288675134594813
15	14	35	0.204124145231931
17	13	35	0.353553390593273
18	12	35	-0.288675134594813
19	11	35	0.204124145231932
4	20	36	-0.707106781186548
7	19	36	0.144337567297406
9	18	36	-0.144337567297407
10	17	36	0.204124145231931
13	16	36	0.204124145231932
15	15	36	-0.204124145231932
16	14	36	0.288675134594813
18	13	36	0.204124145231931
19	12	36	-0.288675134594813
20	11	36	0.353553390593274
5	11	37	-0.353553390593274
11	5	37	0.612372435695794
12	2	37	-0.353553390593273
13	1	37	0.612372435695794
5	12	38	-0.353553390593274
11	6	38	0.612372435695794
12	3	38	-0.499999999999999
13	2	38	0.500000000000000
5	13	39	-0.353553390593274
11	7	39	0.612372435695794
12	4	39	-0.612372435695794
13	3	39	0.353553390593274
5	14	40	-0.273861278752583
6	12	40	-0.129099444873580
7	11	40	0.182574185835055
11	8	40	0.670820393249937
12	6	40	-0.091287092917528
13	5	40	0.129099444873581
14	3	40	-0.258198889747161
15	2	40	0.365148371670111
16	1	40	-0.447213595499958
5	15	41	-0.273861278752583
6	13	41	-0.182574185835055
7	12	41	0.129099444873580
11	9	41	0.670820393249936
12	7	41	-0.129099444873580
13	6	41	0.091287092917528
14	4	41	-0.447213595499958
15	3	41	0.365148371670111
16	2	41	-0.258198889747161
5	16	42	-0.193649167310371
6	15	42	-0.193649167310371
7	14	42	0.193649167310371
8	13	42	-0.064549722436790
9	12	42	0.064549722436790
10	11	42	-0.064549722436790
11	10	42	0.580947501931112
12	9	42	0.193649167310371
13	8	42	-0.193649167310371
14	7	42	-0.322748612183951
15	6	42	0.322748612183951
16	5	42	-0.322748612183951
17	4	42	-0.193649167310371
18	3	42	0.193649167310371
19	2	42	-0.193649167310371
20	1	42	0.193649167310371
6	11	43	-0.353553390593274
12	5	43	0.500000000000000
14	2	43	-0.500000000000000
15	1	43	0.612372435695794
6	12	44	-0.288675134594813
7	11	44	-0.204124145231931
12	6	44	0.408248290463863
13	5	44	0.288675134594813
14	3	44	-0.577350269189626
15	2	44	0.204124145231932
16	1	44	0.500000000000000
6	13	45	-0.204124145231932
7	12	45	-0.288675134594813
12	7	45	0.288675134594813
13	6	45	0.408248290463863
14	4	45	-0.500000000000000
15	3	45	-0.204124145231931
16	2	45	0.577350269189626
7	13	46	-0.353553390593274
13	7	46	0.500000000000000
15	4	46	-0.612372435695794
16	3	46	0.500000000000000
6	14	47	-0.316227766016838
8	12	47	-0.111803398874989
9	11	47	0.111803398874989
12	8	47	0.632455532033676
