List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	1	1	0.999999999999999
1	2	2	1.000000000000000
1	3	3	0.999999999999999
1	4	4	0.999999999999999
1	5	5	1.000000000000000
1	6	6	1.000000000000000
1	7	7	0.999999999999999
1	8	8	1.000000000000001
1	9	9	1.000000000000000
1	10	10	1.000000000000000
1	11	11	0.790569415042095
2	5	11	0.273861278752583
3	2	11	-0.273861278752582
4	1	11	0.474341649025257
1	12	12	0.790569415042095
2	6	12	0.273861278752584
3	3	12	-0.387298334620741
4	2	12	0.387298334620742
1	13	13	0.790569415042094
2	7	13	0.273861278752583
3	4	13	-0.474341649025256
4	3	13	0.273861278752583
1	14	14	0.790569415042095
2	8	14	0.387298334620742
3	6	14	-0.273861278752583
4	5	14	0.387298334620742
1	15	15	0.790569415042095
2	9	15	0.387298334620742
3	7	15	-0.387298334620741
4	6	15	0.273861278752583
1	16	16	0.790569415042095
2	10	16	0.474341649025257
3	9	16	-0.273861278752583
4	8	16	0.273861278752583
1	17	17	0.597614304667197
2	14	17	0.365962527355700
3	12	17	-0.365962527355699
4	11	17	0.517549169506766
5	8	17	0.103509833901354
6	6	17	-0.103509833901353
7	5	17	0.146385010942280
8	3	17	0.103509833901353
9	2	17	-0.146385010942280
10	1	17	0.179284291400159
1	18	18	0.597614304667196
2	15	18	0.365962527355700
3	13	18	-0.517549169506765
4	12	18	0.365962527355700
5	9	18	0.103509833901353
6	7	18	-0.146385010942280
7	6	18	0.103509833901353
8	4	18	0.179284291400159
9	3	18	-0.146385010942280
10	2	18	0.103509833901353
1	19	19	0.597614304667197
2	16	19	0.517549169506765
3	15	19	-0.365962527355700
4	14	19	0.365962527355700
5	10	19	0.179284291400159
6	9	19	-0.146385010942280
7	8	19	0.146385010942280
8	7	19	0.103509833901353
9	6	19	-0.103509833901353
10	5	19	0.103509833901353
1	20	20	0.422577127364258
2	19	20	0.422577127364258
3	18	20	-0.422577127364258
4	17	20	0.422577127364259
5	16	20	0.211288563682129
6	15	20	-0.211288563682129
7	14	20	0.211288563682129
8	13	20	0.211288563682129
9	12	20	-0.211288563682129
10	11	20	0.211288563682129
11	10	20	0.042257712736426
12	9	20	-0.042257712736426
13	8	20	0.042257712736426
14	7	20	0.042257712736426
15	6	20	-0.042257712736426
16	5	20	0.042257712736426
17	4	20	-0.042257712736426
18	3	20	0.042257712736426
19	2	20	-0.042257712736426
20	1	20	0.042257712736426
2	1	21	1.000000000000000
2	2	22	1.000000000000000
2	3	23	0.999999999999999
2	4	24	0.999999999999999
2	5	25	0.894427190999916
3	2	25	0.223606797749979
4	1	25	-0.387298334620742
2	6	26	0.894427190999915
3	3	26	0.316227766016838
4	2	26	-0.316227766016838
2	7	27	0.894427190999915
3	4	27	0.387298334620741
4	3	27	-0.223606797749979
2	8	28	0.774596669241483
3	6	28	0.365148371670110
4	5	28	-0.516397779494322
2	9	29	0.774596669241482
3	7	29	0.516397779494322
4	6	29	-0.365148371670111
2	10	30	0.632455532033675
3	9	30	0.547722557505166
4	8	30	-0.547722557505166
3	1	31	1.000000000000001
3	2	32	0.866025403784439
4	1	32	0.500000000000000
3	3	33	0.707106781186548
4	2	33	0.707106781186548
3	4	34	0.500000000000000
4	3	34	0.866025403784439
4	4	35	1.000000000000000
3	5	36	1.000000000000001
3	6	37	0.816496580927727
4	5	37	0.577350269189626
3	7	38	0.577350269189626
4	6	38	0.816496580927726
4	7	39	1.000000000000000
3	8	40	1.000000000000001
3	9	41	0.707106781186547
4	8	41	0.707106781186548
4	9	42	1.000000000000000
3	10	43	1.000000000000000
4	10	44	1.000000000000000
2	11	45	0.866025403784438
5	5	45	0.288675134594813
6	2	45	-0.204124145231931
7	1	45	0.353553390593274
2	12	46	0.866025403784439
5	6	46	0.288675134594813
6	3	46	-0.288675134594812
7	2	46	0.288675134594813
2	13	47	0.866025403784438
5	7	47	0.288675134594813
6	4	47	-0.353553390593273
7	3	47	0.204124145231932
2	14	48	0.750000000000000
3	12	48	0.250000000000000
4	11	48	-0.353553390593274
5	8	48	0.353553390593274
6	6	48	-0.117851130197758
7	5	48	0.166666666666667
8	3	48	-0.117851130197758
9	2	48	0.166666666666667
10	1	48	-0.204124145231932
2	15	49	0.749999999999999
3	13	49	0.353553390593273
4	12	49	-0.250000000000000
5	9	49	0.353553390593273
6	7	49	-0.166666666666666
7	6	49	0.117851130197758
8	4	49	-0.204124145231931
9	3	49	0.166666666666667
10	2	49	-0.117851130197758
2	16	50	0.612372435695794
3	15	50	0.433012701892219
4	14	50	-0.433012701892219
5	10	50	0.353553390593274
8	7	50	-0.204124145231931
9	6	50	0.204124145231932
10	5	50	-0.204124145231931
3	11	51	0.866025403784439
6	5	51	0.204124145231932
8	2	51	-0.288675134594813
9	1	51	0.353553390593274
3	12	52	0.707106781186548
4	11	52	0.500000000000000
6	6	52	0.166666666666667
7	5	52	0.117851130197758
8	3	52	-0.333333333333333
9	2	52	0.117851130197758
10	1	52	0.288675134594813
3	13	53	0.500000000000000
4	12	53	0.707106781186548
6	7	53	0.117851130197758
7	6	53	0.166666666666667
8	4	53	-0.288675134594813
9	3	53	-0.117851130197758
10	2	53	0.333333333333333
4	13	54	0.866025403784439
7	7	54	0.204124145231932
