List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	17	1	0.377964473009227
2	14	1	-0.308606699924182
3	12	1	0.308606699924186
4	11	1	-0.436435780471985
5	8	1	0.218217890235995
6	6	1	-0.218217890235991
7	5	1	0.308606699924183
8	3	1	0.218217890235991
9	2	1	-0.308606699924183
10	1	1	0.377964473009227
1	18	2	0.377964473009227
2	15	2	-0.308606699924182
3	13	2	0.436435780471986
4	12	2	-0.308606699924184
5	9	2	0.218217890235995
6	7	2	-0.308606699924182
7	6	2	0.218217890235991
8	4	2	0.377964473009226
9	3	2	-0.308606699924184
10	2	2	0.218217890235992
1	19	3	0.377964473009227
2	16	3	-0.436435780471985
3	15	3	0.308606699924185
4	14	3	-0.308606699924184
5	10	3	0.377964473009228
6	9	3	-0.308606699924183
7	8	3	0.308606699924183
8	7	3	0.218217890235992
9	6	3	-0.218217890235992
10	5	3	0.218217890235992
1	20	4	0.566946709513841
2	19	4	-0.314970394174356
3	18	4	0.314970394174357
4	17	4	-0.314970394174356
5	16	4	0.062994078834871
6	15	4	-0.062994078834871
7	14	4	0.062994078834871
8	13	4	0.062994078834870
9	12	4	-0.062994078834871
10	11	4	0.062994078834871
11	10	4	0.188982236504614
12	9	4	-0.188982236504613
13	8	4	0.188982236504614
14	7	4	0.188982236504613
15	6	4	-0.188982236504614
16	5	4	0.188982236504613
17	4	4	-0.188982236504613
18	3	4	0.188982236504613
19	2	4	-0.188982236504613
20	1	4	0.188982236504613
2	17	5	0.218217890235992
5	14	5	-0.308606699924183
6	12	5	0.218217890235993
7	11	5	-0.308606699924184
11	8	5	0.377964473009228
12	6	5	-0.308606699924184
13	5	5	0.436435780471984
14	3	5	0.218217890235991
15	2	5	-0.308606699924183
16	1	5	0.377964473009227
2	18	6	0.218217890235992
5	15	6	-0.308606699924183
6	13	6	0.308606699924185
7	12	6	-0.218217890235992
11	9	6	0.377964473009228
12	7	6	-0.436435780471985
13	6	6	0.308606699924183
14	4	6	0.377964473009226
15	3	6	-0.308606699924183
16	2	6	0.218217890235992
2	19	7	0.178174161274950
3	18	7	0.089087080637475
4	17	7	-0.089087080637475
5	16	7	-0.356348322549899
6	15	7	0.089087080637475
7	14	7	-0.089087080637475
8	13	7	0.178174161274950
9	12	7	-0.178174161274950
10	11	7	0.178174161274950
11	10	7	0.534522483824849
12	9	7	-0.267261241912424
13	8	7	0.267261241912424
17	4	7	0.267261241912424
18	3	7	-0.267261241912424
19	2	7	0.267261241912424
20	1	7	-0.267261241912424
3	17	8	0.218217890235992
6	14	8	-0.218217890235992
8	12	8	0.308606699924184
9	11	8	-0.308606699924184
12	8	8	0.218217890235993
14	6	8	-0.308606699924184
15	5	8	0.308606699924184
17	3	8	0.377964473009227
18	2	8	-0.436435780471985
19	1	8	0.377964473009227
3	18	9	0.154303349962092
4	17	9	0.154303349962092
6	15	9	-0.154303349962092
7	14	9	-0.154303349962092
8	13	9	0.308606699924184
10	11	9	-0.308606699924184
12	9	9	0.154303349962092
13	8	9	0.154303349962092
14	7	9	-0.308606699924184
16	5	9	0.308606699924184
17	4	9	0.462910049886275
18	3	9	-0.154303349962092
19	2	9	-0.154303349962092
20	1	9	0.462910049886275
4	18	10	0.218217890235992
7	15	10	-0.218217890235992
9	13	10	0.308606699924184
10	12	10	-0.308606699924184
13	9	10	0.218217890235993
15	7	10	-0.308606699924184
16	6	10	0.308606699924184
18	4	10	0.377964473009227
19	3	10	-0.436435780471984
20	2	10	0.377964473009227
3	19	11	0.218217890235992
6	16	11	-0.308606699924184
8	15	11	0.308606699924184
9	14	11	-0.218217890235992
12	10	11	0.377964473009228
14	9	11	-0.436435780471985
15	8	11	0.308606699924183
17	7	11	0.377964473009227
18	6	11	-0.308606699924183
19	5	11	0.218217890235992
4	19	12	0.218217890235992
7	16	12	-0.308606699924184
9	15	12	0.218217890235993
10	14	12	-0.308606699924184
13	10	12	0.377964473009228
15	9	12	-0.308606699924184
16	8	12	0.436435780471984
18	7	12	0.218217890235992
19	6	12	-0.308606699924184
20	5	12	0.377964473009227
2	20	13	0.377964473009227
5	19	13	-0.436435780471985
6	18	13	0.308606699924184
7	17	13	-0.308606699924183
11	16	13	0.377964473009228
12	15	13	-0.308606699924183
13	14	13	0.308606699924183
14	13	13	0.218217890235992
15	12	13	-0.218217890235992
16	11	13	0.218217890235992
3	20	14	0.377964473009227
6	19	14	-0.308606699924184
8	18	14	0.436435780471985
9	17	14	-0.308606699924183
12	16	14	0.218217890235993
14	15	14	-0.308606699924184
15	14	14	0.218217890235992
17	13	14	0.377964473009227
18	12	14	-0.308606699924183
19	11	14	0.218217890235992
4	20	15	0.377964473009227
7	19	15	-0.308606699924184
9	18	15	0.308606699924184
10	17	15	-0.436435780471985
13	16	15	0.218217890235993
15	15	15	-0.218217890235992
16	14	15	0.308606699924184
18	13	15	0.218217890235992
19	12	15	-0.308606699924184
20	11	15	0.377964473009227
