List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	20	1	0.223606797749979
2	19	1	-0.223606797749979
3	18	1	0.223606797749979
4	17	1	-0.223606797749979
5	16	1	0.223606797749979
6	15	1	-0.223606797749979
7	14	1	0.223606797749979
8	13	1	0.223606797749979
9	12	1	-0.223606797749979
10	11	1	0.223606797749979
11	10	1	-0.223606797749979
12	9	1	0.223606797749979
13	8	1	-0.223606797749979
14	7	1	-0.223606797749979
15	6	1	0.223606797749979
16	5	1	-0.223606797749979
17	4	1	0.223606797749979
18	3	1	-0.223606797749979
19	2	1	0.223606797749979
20	1	1	-0.223606797749979
