List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	4	1	0.632455532033676
2	2	1	-0.447213595499957
3	1	1	0.632455532033676
1	5	2	0.632455532033676
2	3	2	-0.632455532033676
3	2	2	0.447213595499958
1	6	3	0.730296743340222
2	5	3	-0.182574185835055
3	4	3	0.182574185835055
4	3	3	-0.365148371670111
5	2	3	0.365148371670111
6	1	3	-0.365148371670111
2	4	4	0.447213595499958
4	2	4	-0.632455532033676
5	1	4	0.632455532033676
2	5	5	0.316227766016838
3	4	5	0.316227766016838
4	3	5	-0.632455532033676
6	1	5	0.632455532033676
3	5	6	0.447213595499958
5	3	6	-0.632455532033676
6	2	6	0.632455532033676
2	6	7	0.632455532033676
4	5	7	-0.632455532033676
5	4	7	0.447213595499958
3	6	8	0.632455532033676
5	5	8	-0.447213595499958
6	4	8	0.632455532033676
