List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	1	1	1.000000000000000
1	2	2	1.000000000000000
1	3	3	1.000000000000000
1	4	4	0.774596669241484
2	2	4	0.365148371670111
3	1	4	-0.516397779494322
1	5	5	0.774596669241483
2	3	5	0.516397779494322
3	2	5	-0.365148371670111
1	6	6	0.547722557505166
2	5	6	0.547722557505166
3	4	6	-0.547722557505166
4	3	6	0.182574185835055
5	2	6	-0.182574185835056
6	1	6	0.182574185835055
2	1	7	1.000000000000000
2	2	8	0.816496580927726
3	1	8	0.577350269189626
2	3	9	0.577350269189626
3	2	9	0.816496580927726
3	3	10	1.000000000000000
2	4	11	0.894427190999916
4	2	11	0.316227766016838
5	1	11	-0.316227766016838
2	5	12	0.632455532033676
3	4	12	0.632455532033676
4	3	12	0.316227766016838
6	1	12	-0.316227766016838
3	5	13	0.894427190999916
5	3	13	0.316227766016838
6	2	13	-0.316227766016838
2	6	14	0.774596669241483
4	5	14	0.516397779494322
5	4	14	-0.365148371670111
3	6	15	0.774596669241483
5	5	15	0.365148371670111
6	4	15	-0.516397779494322
4	1	16	1.000000000000000
4	2	17	0.707106781186547
5	1	17	0.707106781186547
4	3	18	0.408248290463863
5	2	18	0.816496580927726
6	1	18	0.408248290463863
5	3	19	0.707106781186547
6	2	19	0.707106781186547
6	3	20	1.000000000000000
4	4	21	1.000000000000000
4	5	22	0.577350269189626
5	4	22	0.816496580927726
5	5	23	0.816496580927726
6	4	23	0.577350269189626
6	5	24	1.000000000000000
4	6	25	1.000000000000000
5	6	26	1.000000000000000
6	6	27	1.000000000000000
