List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	7	1	-0.577350269189626
2	4	1	0.408248290463863
3	2	1	-0.408248290463863
4	1	1	0.577350269189625
1	8	2	-0.577350269189626
2	5	2	0.408248290463863
3	3	2	-0.577350269189625
4	2	2	0.408248290463863
1	9	3	-0.577350269189626
2	6	3	0.577350269189626
3	5	3	-0.408248290463863
4	4	3	0.408248290463863
1	10	4	-0.707106781186548
2	9	4	0.235702260395516
3	8	4	-0.235702260395516
4	7	4	0.235702260395516
5	6	4	0.235702260395516
6	5	4	-0.235702260395516
7	4	4	0.235702260395516
8	3	4	0.235702260395516
9	2	4	-0.235702260395516
10	1	4	0.235702260395516
2	7	5	-0.408248290463863
5	4	5	0.577350269189626
6	2	5	-0.408248290463863
7	1	5	0.577350269189625
2	8	6	-0.408248290463863
5	5	6	0.577350269189626
6	3	6	-0.577350269189625
7	2	6	0.408248290463863
2	9	7	-0.333333333333334
3	8	7	-0.166666666666667
4	7	7	0.166666666666667
5	6	7	0.666666666666667
6	5	7	-0.166666666666667
7	4	7	0.166666666666666
8	3	7	-0.333333333333333
9	2	7	0.333333333333333
10	1	7	-0.333333333333333
3	7	8	-0.408248290463863
6	4	8	0.408248290463863
8	2	8	-0.577350269189626
9	1	8	0.577350269189626
3	8	9	-0.288675134594813
4	7	9	-0.288675134594813
6	5	9	0.288675134594813
7	4	9	0.288675134594813
8	3	9	-0.577350269189626
10	1	9	0.577350269189626
4	8	10	-0.408248290463863
7	5	10	0.408248290463863
9	3	10	-0.577350269189626
10	2	10	0.577350269189626
3	9	11	-0.408248290463863
6	6	11	0.577350269189626
8	5	11	-0.577350269189626
9	4	11	0.408248290463863
4	9	12	-0.408248290463863
7	6	12	0.577350269189626
9	5	12	-0.408248290463863
10	4	12	0.577350269189626
2	10	13	-0.577350269189626
5	9	13	0.577350269189626
6	8	13	-0.408248290463863
7	7	13	0.408248290463863
3	10	14	-0.577350269189626
6	9	14	0.408248290463863
8	8	14	-0.577350269189626
9	7	14	0.408248290463863
4	10	15	-0.577350269189626
7	9	15	0.408248290463863
9	8	15	-0.408248290463863
10	7	15	0.577350269189626
