List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	13	1	0.338061701891406
2	11	1	-0.292770021884560
3	10	1	0.414039335605412
4	8	1	0.239045721866877
5	7	1	-0.338061701891407
6	6	1	0.414039335605413
7	4	1	-0.169030850945705
8	3	1	0.239045721866879
9	2	1	-0.292770021884558
10	1	1	0.338061701891407
1	14	2	0.338061701891406
2	12	2	-0.414039335605413
3	11	2	0.292770021884560
4	9	2	0.414039335605412
5	8	2	-0.338061701891407
6	7	2	0.239045721866879
7	5	2	-0.338061701891407
8	4	2	0.292770021884560
9	3	2	-0.239045721866878
10	2	2	0.169030850945704
1	15	3	0.552052447473883
2	14	3	-0.345032779671177
3	13	3	0.345032779671177
4	12	3	0.138013111868471
5	11	3	-0.138013111868471
6	10	3	0.138013111868471
7	9	3	0.069006555934235
8	8	3	-0.069006555934236
9	7	3	0.069006555934236
10	6	3	-0.069006555934235
11	5	3	-0.276026223736942
12	4	3	0.276026223736942
13	3	3	-0.276026223736942
14	2	3	0.276026223736942
15	1	3	-0.276026223736942
2	13	4	0.169030850945703
4	11	4	-0.239045721866879
5	10	4	0.239045721866879
7	8	4	0.292770021884559
8	7	4	-0.338061701891406
9	6	4	0.292770021884560
11	4	4	-0.338061701891407
12	3	4	0.414039335605412
13	2	4	-0.414039335605412
14	1	4	0.338061701891407
2	14	5	0.119522860933439
3	13	5	0.119522860933439
4	12	5	-0.239045721866879
6	10	5	0.239045721866879
7	9	5	0.358568582800318
8	8	5	-0.119522860933440
9	7	5	-0.119522860933439
10	6	5	0.358568582800318
11	5	5	-0.478091443733757
12	4	5	0.239045721866879
14	2	5	-0.239045721866878
15	1	5	0.478091443733757
3	14	6	0.169030850945703
5	12	6	-0.239045721866879
6	11	6	0.239045721866879
8	9	6	0.292770021884560
9	8	6	-0.338061701891407
10	7	6	0.292770021884560
12	5	6	-0.338061701891407
13	4	6	0.414039335605413
14	3	6	-0.414039335605413
15	2	6	0.338061701891407
2	15	7	0.338061701891406
4	14	7	-0.414039335605413
5	13	7	0.292770021884560
7	12	7	0.414039335605412
8	11	7	-0.338061701891407
9	10	7	0.239045721866879
11	9	7	-0.338061701891407
12	8	7	0.292770021884560
13	7	7	-0.239045721866878
14	6	7	0.169030850945704
3	15	8	0.338061701891406
5	14	8	-0.292770021884560
6	13	8	0.414039335605413
8	12	8	0.239045721866879
9	11	8	-0.338061701891407
10	10	8	0.414039335605413
12	9	8	-0.169030850945703
13	8	8	0.239045721866879
14	7	8	-0.292770021884560
15	6	8	0.338061701891407
