List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	6	1	0.666666666666665
2	2	1	-0.333333333333334
3	1	1	0.666666666666666
1	7	2	0.666666666666666
2	3	2	-0.471404520791032
3	2	2	0.577350269189626
1	8	3	0.666666666666665
2	4	3	-0.577350269189626
3	3	3	0.471404520791032
1	9	4	0.666666666666665
2	5	4	-0.666666666666666
3	4	4	0.333333333333334
1	10	5	0.712696645099798
2	7	5	-0.062994078834871
3	6	5	0.109108945117997
4	3	5	-0.218217890235992
5	2	5	0.377964473009228
6	1	5	-0.534522483824849
1	11	6	0.712696645099798
2	8	6	-0.089087080637475
3	7	6	0.089087080637475
4	4	6	-0.377964473009227
5	3	6	0.436435780471985
6	2	6	-0.377964473009227
1	12	7	0.712696645099797
2	9	7	-0.109108945117996
3	8	7	0.062994078834872
4	5	7	-0.534522483824848
5	4	7	0.377964473009228
6	3	7	-0.218217890235992
1	13	8	0.617213399848367
2	11	8	0.178174161274949
3	10	8	-0.251976315339485
4	8	8	-0.218217890235992
5	7	8	0.308606699924184
6	6	8	-0.377964473009228
7	4	8	-0.154303349962092
8	3	8	0.218217890235992
9	2	8	-0.267261241912425
10	1	8	0.308606699924184
1	14	9	0.617213399848367
2	12	9	0.251976315339484
3	11	9	-0.178174161274949
4	9	9	-0.377964473009227
5	8	9	0.308606699924184
6	7	9	-0.218217890235992
7	5	9	-0.308606699924183
8	4	9	0.267261241912424
9	3	9	-0.218217890235992
10	2	9	0.154303349962092
1	15	10	0.450748935855208
2	14	10	0.394405318873307
3	13	10	-0.394405318873307
4	12	10	-0.112687233963802
5	11	10	0.112687233963803
6	10	10	-0.112687233963802
7	9	10	-0.309889893400456
8	8	10	0.309889893400456
9	7	10	-0.309889893400456
10	6	10	0.309889893400456
11	5	10	-0.112687233963802
12	4	10	0.112687233963802
13	3	10	-0.112687233963802
14	2	10	0.112687233963802
15	1	10	-0.112687233963802
2	6	11	0.577350269189625
4	2	11	-0.471404520791032
5	1	11	0.666666666666666
2	7	12	0.499999999999999
3	6	12	0.288675134594812
4	3	12	-0.577350269189627
5	2	12	0.333333333333333
6	1	12	0.471404520791032
2	8	13	0.408248290463863
3	7	13	0.408248290463863
4	4	13	-0.577350269189627
6	2	13	0.577350269189626
2	9	14	0.288675134594813
3	8	14	0.499999999999999
4	5	14	-0.471404520791033
5	4	14	-0.333333333333334
6	3	14	0.577350269189626
3	9	15	0.577350269189625
5	5	15	-0.666666666666667
6	4	15	0.471404520791032
2	10	16	0.690065559342354
4	7	16	-0.239045721866879
5	6	16	0.292770021884560
7	3	16	-0.276026223736942
8	2	16	0.390360029179414
9	1	16	-0.390360029179413
2	11	17	0.563436169819011
3	10	17	0.398409536444798
4	8	17	-0.276026223736942
5	7	17	0.097590007294854
6	6	17	0.239045721866879
7	4	17	-0.390360029179414
8	3	17	0.276026223736942
10	1	17	-0.390360029179414
2	12	18	0.398409536444798
3	11	18	0.563436169819011
4	9	18	-0.239045721866879
5	8	18	-0.097590007294853
6	7	18	0.276026223736942
7	5	18	-0.390360029179414
9	3	18	0.276026223736942
10	2	18	-0.390360029179414
3	12	19	0.690065559342354
5	9	19	-0.292770021884560
6	8	19	0.239045721866879
8	5	19	-0.390360029179413
9	4	19	0.390360029179414
10	3	19	-0.276026223736942
2	13	20	0.690065559342354
7	8	20	-0.358568582800318
8	7	20	0.414039335605413
9	6	20	-0.358568582800318
11	4	20	-0.138013111868471
12	3	20	0.169030850945703
13	2	20	-0.169030850945703
14	1	20	0.138013111868471
2	14	21	0.487950036474266
3	13	21	0.487950036474267
7	9	21	-0.439155032826840
8	8	21	0.146385010942280
9	7	21	0.146385010942280
10	6	21	-0.439155032826840
11	5	21	-0.195180014589707
12	4	21	0.097590007294853
14	2	21	-0.097590007294853
15	1	21	0.195180014589707
3	14	22	0.690065559342354
8	9	22	-0.358568582800318
9	8	22	0.414039335605413
10	7	22	-0.358568582800318
12	5	22	-0.138013111868471
13	4	22	0.169030850945703
14	3	22	-0.169030850945703
15	2	22	0.138013111868471
2	15	23	0.617213399848367
4	14	23	0.251976315339484
5	13	23	-0.178174161274949
7	12	23	-0.377964473009227
8	11	23	0.308606699924184
9	10	23	-0.218217890235992
11	9	23	-0.308606699924184
12	8	23	0.267261241912425
13	7	23	-0.218217890235992
14	6	23	0.154303349962092
3	15	24	0.617213399848367
5	14	24	0.178174161274949
6	13	24	-0.251976315339484
8	12	24	-0.218217890235992
9	11	24	0.308606699924184
10	10	24	-0.377964473009227
12	9	24	-0.154303349962092
13	8	24	0.218217890235992
14	7	24	-0.267261241912424
15	6	24	0.308606699924184
4	6	25	0.471404520791031
7	2	25	-0.577350269189626
8	1	25	0.666666666666666
4	7	26	0.365148371670110
5	6	26	0.298142396999971
7	3	26	-0.632455532033676
8	2	26	0.149071198499986
9	1	26	0.596284793999944
4	8	27	0.258198889747161
5	7	27	0.365148371670110
6	6	27	0.149071198499986
7	4	27	-0.547722557505166
8	3	27	-0.258198889747161
9	2	27	0.527046276694730
10	1	27	0.365148371670111
4	9	28	0.149071198499986
5	8	28	0.365148371670110
6	7	28	0.258198889747161
7	5	28	-0.365148371670111
8	4	28	-0.527046276694730
9	3	28	0.258198889747161
10	2	28	0.547722557505166
5	9	29	0.298142396999971
6	8	29	0.365148371670110
8	5	29	-0.596284793999944
9	4	29	-0.149071198499986
10	3	29	0.632455532033676
6	9	30	0.471404520791031
9	5	30	-0.666666666666667
10	4	30	0.577350269189626
4	10	31	0.617213399848367
7	7	31	-0.445435403187374
8	6	31	0.445435403187374
11	3	31	-0.251976315339484
12	2	31	0.308606699924184
13	1	31	-0.251976315339485
4	11	32	0.436435780471985
5	10	32	0.436435780471985
7	8	32	-0.445435403187374
9	6	32	0.445435403187374
11	4	32	-0.308606699924184
12	3	32	0.125988157669743
13	2	32	0.125988157669742
14	1	32	-0.308606699924184
4	12	33	0.251976315339485
5	11	33	0.503952630678969
6	10	33	0.251976315339485
7	9	33	-0.314970394174357
8	8	33	-0.314970394174356
9	7	33	0.314970394174356
10	6	33	0.314970394174356
11	5	33	-0.251976315339485
12	4	33	-0.125988157669742
13	3	33	0.251976315339485
14	2	33	-0.125988157669743
15	1	33	-0.251976315339485
5	12	34	0.436435780471984
6	11	34	0.436435780471985
8	9	34	-0.445435403187375
10	7	34	0.445435403187374
12	5	34	-0.308606699924184
13	4	34	0.125988157669743
14	3	34	0.125988157669742
15	2	34	-0.308606699924184
6	12	35	0.617213399848367
9	9	35	-0.445435403187374
10	8	35	0.445435403187375
13	5	35	-0.251976315339485
14	4	35	0.308606699924184
15	3	35	-0.251976315339485
4	13	36	0.690065559342354
7	11	36	-0.292770021884560
8	10	36	0.239045721866879
11	8	36	-0.390360029179413
12	7	36	0.390360029179413
13	6	36	-0.276026223736942
4	14	37	0.398409536444798
5	13	37	0.563436169819011
