List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	1	1	0.999999999999999
1	2	2	1.000000000000000
1	3	3	0.999999999999999
1	4	4	0.999999999999999
1	5	5	1.000000000000000
1	6	6	0.745355992499930
2	2	6	0.298142396999972
3	1	6	-0.596284793999944
1	7	7	0.745355992499929
2	3	7	0.421637021355783
3	2	7	-0.516397779494322
1	8	8	0.745355992499929
2	4	8	0.516397779494322
3	3	8	-0.421637021355784
1	9	9	0.745355992499930
2	5	9	0.596284793999944
3	4	9	-0.298142396999972
1	10	10	0.527046276694729
2	7	10	0.372677996249964
3	6	10	-0.645497224367902
4	3	10	0.129099444873580
5	2	10	-0.223606797749979
6	1	10	0.316227766016838
1	11	11	0.527046276694730
2	8	11	0.527046276694730
3	7	11	-0.527046276694730
4	4	11	0.223606797749979
5	3	11	-0.258198889747161
6	2	11	0.223606797749979
1	12	12	0.527046276694730
2	9	12	0.645497224367903
3	8	12	-0.372677996249965
4	5	12	0.316227766016838
5	4	12	-0.223606797749979
6	3	12	0.129099444873581
1	13	13	0.345032779671177
2	11	13	0.398409536444798
3	10	13	-0.563436169819011
4	8	13	0.243975018237134
5	7	13	-0.345032779671177
6	6	13	0.422577127364258
7	4	13	0.069006555934236
8	3	13	-0.097590007294853
9	2	13	0.119522860933439
10	1	13	-0.138013111868471
1	14	14	0.345032779671177
2	12	14	0.563436169819011
3	11	14	-0.398409536444798
4	9	14	0.422577127364258
5	8	14	-0.345032779671177
6	7	14	0.243975018237133
7	5	14	0.138013111868471
8	4	14	-0.119522860933439
9	3	14	0.097590007294853
10	2	14	-0.069006555934235
1	15	15	0.199204768222399
2	14	15	0.398409536444798
3	13	15	-0.398409536444798
4	12	15	0.398409536444798
5	11	15	-0.398409536444798
6	10	15	0.398409536444798
7	9	15	0.199204768222399
8	8	15	-0.199204768222399
9	7	15	0.199204768222399
10	6	15	-0.199204768222399
11	5	15	0.039840953644480
12	4	15	-0.039840953644480
13	3	15	0.039840953644480
14	2	15	-0.039840953644480
15	1	15	0.039840953644480
2	1	16	1.000000000000000
2	2	17	0.894427190999916
3	1	17	0.447213595499958
2	3	18	0.774596669241483
3	2	18	0.632455532033676
2	4	19	0.632455532033676
3	3	19	0.774596669241483
2	5	20	0.447213595499958
3	4	20	0.894427190999916
3	5	21	1.000000000000000
2	6	22	0.816496580927726
4	2	22	0.333333333333333
5	1	22	-0.471404520791032
2	7	23	0.707106781186547
3	6	23	0.408248290463863
4	3	23	0.408248290463863
5	2	23	-0.235702260395516
6	1	23	-0.333333333333333
2	8	24	0.577350269189625
3	7	24	0.577350269189626
4	4	24	0.408248290463863
6	2	24	-0.408248290463863
2	9	25	0.408248290463863
3	8	25	0.707106781186547
4	5	25	0.333333333333334
5	4	25	0.235702260395516
6	3	25	-0.408248290463863
3	9	26	0.816496580927726
5	5	26	0.471404520791032
6	4	26	-0.333333333333334
2	10	27	0.645497224367902
4	7	27	0.447213595499957
5	6	27	-0.547722557505166
7	3	27	0.129099444873580
8	2	27	-0.182574185835055
9	1	27	0.182574185835055
2	11	28	0.527046276694729
3	10	28	0.372677996249965
4	8	28	0.516397779494322
5	7	28	-0.182574185835055
6	6	28	-0.447213595499958
7	4	28	0.182574185835055
8	3	28	-0.129099444873581
10	1	28	0.182574185835055
2	12	29	0.372677996249965
3	11	29	0.527046276694730
4	9	29	0.447213595499958
5	8	29	0.182574185835055
6	7	29	-0.516397779494322
7	5	29	0.182574185835056
9	3	29	-0.129099444873581
10	2	29	0.182574185835055
3	12	30	0.645497224367903
5	9	30	0.547722557505167
6	8	30	-0.447213595499958
8	5	30	0.182574185835056
9	4	30	-0.182574185835055
10	3	30	0.129099444873581
2	13	31	0.487950036474266
4	11	31	0.517549169506766
5	10	31	-0.517549169506765
7	8	31	0.253546276418555
8	7	31	-0.292770021884560
9	6	31	0.253546276418555
11	4	31	0.048795003647427
12	3	31	-0.059761430466720
13	2	31	0.059761430466720
14	1	31	-0.048795003647427
2	14	32	0.345032779671177
3	13	32	0.345032779671177
4	12	32	0.517549169506766
6	10	32	-0.517549169506766
7	9	32	0.310529501704060
8	8	32	-0.103509833901353
9	7	32	-0.103509833901353
10	6	32	0.310529501704059
11	5	32	0.069006555934236
12	4	32	-0.034503277967118
14	2	32	0.034503277967118
15	1	32	-0.069006555934235
3	14	33	0.487950036474267
5	12	33	0.517549169506766
6	11	33	-0.517549169506766
8	9	33	0.253546276418555
9	8	33	-0.292770021884560
10	7	33	0.253546276418555
12	5	33	0.048795003647427
13	4	33	-0.059761430466720
14	3	33	0.059761430466720
15	2	33	-0.048795003647427
2	15	34	0.345032779671177
4	14	34	0.563436169819011
5	13	34	-0.398409536444798
7	12	34	0.422577127364258
8	11	34	-0.345032779671177
9	10	34	0.243975018237133
11	9	34	0.138013111868471
12	8	34	-0.119522860933439
13	7	34	0.097590007294853
14	6	34	-0.069006555934235
3	15	35	0.345032779671177
5	14	35	0.398409536444798
6	13	35	-0.563436169819011
8	12	35	0.243975018237133
9	11	35	-0.345032779671177
10	10	35	0.422577127364258
12	9	35	0.069006555934235
13	8	35	-0.097590007294853
14	7	35	0.119522860933440
15	6	35	-0.138013111868471
4	1	36	1.000000000000000
4	2	37	0.816496580927726
