List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	10	1	0.462910049886277
2	7	1	-0.327326835353983
3	6	1	0.566946709513841
4	3	1	0.188982236504618
5	2	1	-0.327326835353988
6	1	1	0.462910049886276
1	11	2	0.462910049886278
2	8	2	-0.462910049886272
3	7	2	0.462910049886276
4	4	2	0.327326835353991
5	3	2	-0.377964473009227
6	2	2	0.327326835353989
1	12	3	0.462910049886277
2	9	3	-0.566946709513838
3	8	3	0.327326835353989
4	5	3	0.462910049886277
5	4	3	-0.327326835353988
6	3	3	0.188982236504614
1	13	4	0.621059003408119
2	11	4	-0.239045721866878
3	10	4	0.338061701891406
4	8	4	-0.048795003647426
5	7	4	0.069006555934235
6	6	4	-0.084515425472851
7	4	4	0.207019667802707
8	3	4	-0.292770021884560
9	2	4	0.358568582800318
10	1	4	-0.414039335605413
1	14	5	0.621059003408119
2	12	5	-0.338061701891406
3	11	5	0.239045721866878
4	9	5	-0.084515425472851
5	8	5	0.069006555934235
6	7	5	-0.048795003647427
7	5	5	0.414039335605412
8	4	5	-0.358568582800318
9	3	5	0.292770021884560
10	2	5	-0.207019667802706
1	15	6	0.621059003408119
4	12	6	-0.276026223736941
5	11	6	0.276026223736941
6	10	6	-0.276026223736942
7	9	6	0.207019667802706
8	8	6	-0.207019667802706
9	7	6	0.207019667802706
10	6	6	-0.207019667802706
11	5	6	0.207019667802706
12	4	6	-0.207019667802706
13	3	6	0.207019667802706
14	2	6	-0.207019667802706
15	1	6	0.207019667802706
2	10	7	0.327326835353990
4	7	7	-0.377964473009225
5	6	7	0.462910049886276
7	3	7	0.327326835353990
8	2	7	-0.462910049886276
9	1	7	0.462910049886276
2	11	8	0.267261241912425
3	10	8	0.188982236504614
4	8	8	-0.436435780471983
5	7	8	0.154303349962093
6	6	8	0.377964473009227
7	4	8	0.462910049886277
8	3	8	-0.327326835353989
10	1	8	0.462910049886276
2	12	9	0.188982236504614
3	11	9	0.267261241912425
4	9	9	-0.377964473009226
5	8	9	-0.154303349962091
6	7	9	0.436435780471984
7	5	9	0.462910049886277
9	3	9	-0.327326835353989
10	2	9	0.462910049886276
3	12	10	0.327326835353990
5	9	10	-0.462910049886274
6	8	10	0.377964473009227
8	5	10	0.462910049886277
9	4	10	-0.462910049886276
10	3	10	0.327326835353989
2	13	11	0.507092552837110
4	11	11	-0.418330013267037
5	10	11	0.418330013267038
7	8	11	0.146385010942280
8	7	11	-0.169030850945704
9	6	11	0.146385010942280
11	4	11	0.253546276418555
12	3	11	-0.310529501704060
13	2	11	0.310529501704059
14	1	11	-0.253546276418555
2	14	12	0.358568582800319
3	13	12	0.358568582800318
4	12	12	-0.418330013267037
6	10	12	0.418330013267038
7	9	12	0.179284291400160
8	8	12	-0.059761430466720
9	7	12	-0.059761430466720
10	6	12	0.179284291400159
11	5	12	0.358568582800319
12	4	12	-0.179284291400159
14	2	12	0.179284291400159
15	1	12	-0.358568582800318
3	14	13	0.507092552837110
5	12	13	-0.418330013267037
6	11	13	0.418330013267038
8	9	13	0.146385010942280
9	8	13	-0.169030850945704
10	7	13	0.146385010942280
12	5	13	0.253546276418555
13	4	13	-0.310529501704060
14	3	13	0.310529501704059
15	2	13	-0.253546276418555
2	15	14	0.621059003408119
4	14	14	-0.338061701891406
5	13	14	0.239045721866878
7	12	14	-0.084515425472851
8	11	14	0.069006555934235
9	10	14	-0.048795003647427
11	9	14	0.414039335605412
12	8	14	-0.358568582800318
13	7	14	0.292770021884560
14	6	14	-0.207019667802706
3	15	15	0.621059003408119
5	14	15	-0.239045721866879
6	13	15	0.338061701891407
8	12	15	-0.048795003647426
9	11	15	0.069006555934235
10	10	15	-0.084515425472852
12	9	15	0.207019667802706
13	8	15	-0.292770021884560
14	7	15	0.358568582800318
15	6	15	-0.414039335605413
4	10	16	0.188982236504614
7	7	16	-0.327326835353988
8	6	16	0.327326835353988
11	3	16	0.462910049886276
12	2	16	-0.566946709513840
13	1	16	0.462910049886276
4	11	17	0.133630620956213
5	10	17	0.133630620956213
7	8	17	-0.327326835353988
9	6	17	0.327326835353988
11	4	17	0.566946709513841
12	3	17	-0.231455024943138
13	2	17	-0.231455024943137
14	1	17	0.566946709513841
4	12	18	0.077151674981046
5	11	18	0.154303349962092
6	10	18	0.077151674981046
7	9	18	-0.231455024943137
8	8	18	-0.231455024943137
9	7	18	0.231455024943138
10	6	18	0.231455024943138
11	5	18	0.462910049886276
12	4	18	0.231455024943138
13	3	18	-0.462910049886275
14	2	18	0.231455024943138
15	1	18	0.462910049886276
5	12	19	0.133630620956213
6	11	19	0.133630620956213
8	9	19	-0.327326835353988
10	7	19	0.327326835353988
12	5	19	0.566946709513841
13	4	19	-0.231455024943138
14	3	19	-0.231455024943138
15	2	19	0.566946709513841
6	12	20	0.188982236504614
9	9	20	-0.327326835353988
10	8	20	0.327326835353988
13	5	20	0.462910049886276
14	4	20	-0.566946709513841
15	3	20	0.462910049886276
4	13	21	0.327326835353989
7	11	21	-0.462910049886275
8	10	21	0.377964473009227
11	8	21	0.462910049886276
12	7	21	-0.462910049886276
13	6	21	0.327326835353989
4	14	22	0.188982236504614
5	13	22	0.267261241912425
7	12	22	-0.377964473009227
8	11	22	-0.154303349962092
9	10	22	0.436435780471985
11	9	22	0.462910049886276
13	7	22	-0.327326835353989
14	6	22	0.462910049886276
5	14	23	0.267261241912425
6	13	23	0.188982236504614
8	12	23	-0.436435780471984
9	11	23	0.154303349962092
10	10	23	0.377964473009227
12	9	23	0.462910049886276
13	8	23	-0.327326835353989
15	6	23	0.462910049886276
6	14	24	0.327326835353989
