List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	1	1	1.000000000000000
1	2	2	0.707106781186547
2	1	2	0.707106781186547
1	3	3	0.462910049886276
2	2	3	0.755928946018454
3	1	3	0.462910049886276
1	4	4	0.267261241912424
2	3	4	0.654653670707977
3	2	4	0.654653670707977
4	1	4	0.267261241912424
1	5	5	0.119522860933439
2	4	5	0.478091443733757
3	3	5	0.717137165600636
4	2	5	0.478091443733757
5	1	5	0.119522860933439
2	5	6	0.267261241912424
3	4	6	0.654653670707977
4	3	6	0.654653670707977
5	2	6	0.267261241912424
3	5	7	0.462910049886276
4	4	7	0.755928946018454
5	3	7	0.462910049886276
4	5	8	0.707106781186547
5	4	8	0.707106781186547
5	5	9	1.000000000000000
