List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	2	1	-0.707106781186548
2	1	1	0.707106781186548
1	3	2	-0.707106781186548
3	1	2	0.707106781186548
1	4	3	-0.547722557505166
2	3	3	-0.447213595499958
3	2	3	0.447213595499958
4	1	3	0.547722557505166
1	5	4	-0.316227766016838
2	4	4	-0.632455532033676
4	2	4	0.632455532033676
5	1	4	0.316227766016838
2	5	5	-0.547722557505166
3	4	5	-0.447213595499958
4	3	5	0.447213595499958
5	2	5	0.547722557505166
3	5	6	-0.707106781186547
5	3	6	0.707106781186548
4	5	7	-0.707106781186547
5	4	7	0.707106781186548
