List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	26	1	0.408248290463863
2	20	1	-0.288675134594818
3	17	1	0.288675134594804
4	16	1	-0.500000000000001
5	10	1	0.166666666666647
6	7	1	-0.166666666666707
7	6	1	0.288675134594805
8	3	1	0.166666666666655
9	2	1	-0.288675134594815
10	1	1	0.408248290463862
1	27	2	0.408248290463863
2	21	2	-0.288675134594817
3	18	2	0.408248290463859
4	17	2	-0.408248290463864
5	11	2	0.166666666666650
6	8	2	-0.235702260395538
7	7	2	0.235702260395511
8	4	2	0.288675134594807
9	3	2	-0.333333333333334
10	2	2	0.288675134594812
1	28	3	0.408248290463863
2	22	3	-0.288675134594815
3	19	3	0.499999999999998
4	18	3	-0.288675134594813
5	12	3	0.166666666666656
6	9	3	-0.288675134594823
7	8	3	0.166666666666664
8	5	3	0.408248290463860
9	4	3	-0.288675134594813
10	3	3	0.166666666666666
1	29	4	0.408248290463863
2	23	4	-0.408248290463864
3	21	4	0.288675134594811
4	20	4	-0.408248290463863
5	13	4	0.288675134594808
6	11	4	-0.235702260395527
7	10	4	0.333333333333330
8	8	4	0.166666666666662
9	7	4	-0.235702260395517
10	6	4	0.288675134594813
1	30	5	0.408248290463864
2	24	5	-0.408248290463863
3	22	5	0.408248290463863
4	21	5	-0.288675134594813
5	14	5	0.288675134594810
6	12	5	-0.333333333333338
7	11	5	0.235702260395514
8	9	5	0.288675134594811
9	8	5	-0.235702260395516
10	7	5	0.166666666666667
1	31	6	0.408248290463864
2	25	6	-0.499999999999999
3	24	6	0.288675134594813
4	23	6	-0.288675134594812
5	15	6	0.408248290463863
6	14	6	-0.288675134594814
7	13	6	0.288675134594811
8	12	6	0.166666666666666
9	11	6	-0.166666666666667
10	10	6	0.166666666666667
1	32	7	0.577350269189626
2	29	7	-0.250000000000000
3	27	7	0.250000000000000
4	26	7	-0.353553390593274
11	13	7	0.144337567297405
12	11	7	-0.144337567297414
13	10	7	0.204124145231929
14	8	7	0.144337567297401
15	7	7	-0.204124145231936
16	6	7	0.249999999999999
17	4	7	-0.144337567297407
18	3	7	0.204124145231931
19	2	7	-0.250000000000000
20	1	7	0.288675134594813
1	33	8	0.577350269189626
2	30	8	-0.249999999999999
3	28	8	0.353553390593274
4	27	8	-0.250000000000000
