List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	1	1	0.999999999999999
1	2	2	0.999999999999999
1	3	3	1.000000000000000
1	4	4	1.000000000000000
1	5	5	0.999999999999999
1	6	6	0.999999999999999
1	7	7	0.999999999999999
1	8	8	0.999999999999999
1	9	9	0.999999999999999
1	10	10	0.999999999999999
1	11	11	0.999999999999999
1	12	12	1.000000000000000
1	13	13	0.999999999999999
1	14	14	1.000000000000000
1	15	15	1.000000000000000
1	16	16	0.774596669241483
2	6	16	0.258198889747161
3	2	16	-0.258198889747161
4	1	16	0.516397779494322
1	17	17	0.774596669241483
2	7	17	0.258198889747161
3	3	17	-0.365148371670110
4	2	17	0.447213595499958
1	18	18	0.774596669241483
2	8	18	0.258198889747161
3	4	18	-0.447213595499957
4	3	18	0.365148371670110
1	19	19	0.774596669241483
2	9	19	0.258198889747161
3	5	19	-0.516397779494322
4	4	19	0.258198889747161
1	20	20	0.774596669241483
2	10	20	0.365148371670111
3	7	20	-0.258198889747160
4	6	20	0.447213595499958
1	21	21	0.774596669241483
2	11	21	0.365148371670111
3	8	21	-0.365148371670110
4	7	21	0.365148371670111
1	22	22	0.774596669241483
2	12	22	0.365148371670111
3	9	22	-0.447213595499957
4	8	22	0.258198889747161
1	23	23	0.774596669241483
2	13	23	0.447213595499958
3	11	23	-0.258198889747160
4	10	23	0.365148371670111
1	24	24	0.774596669241483
2	14	24	0.447213595499958
3	12	24	-0.365148371670110
4	11	24	0.258198889747161
1	25	25	0.774596669241483
2	15	25	0.516397779494322
3	14	25	-0.258198889747161
4	13	25	0.258198889747161
1	26	26	0.577350269189625
2	20	26	0.326598632371090
3	17	26	-0.326598632371090
4	16	26	0.565685424949237
5	10	26	0.094280904158207
6	7	26	-0.094280904158205
7	6	26	0.163299316185545
8	3	26	0.094280904158206
9	2	26	-0.163299316185545
10	1	26	0.230940107675850
1	27	27	0.577350269189625
2	21	27	0.326598632371090
3	18	27	-0.461880215351700
4	17	27	0.461880215351701
5	11	27	0.094280904158207
6	8	27	-0.133333333333333
7	7	27	0.133333333333333
8	4	27	0.163299316185545
9	3	27	-0.188561808316413
10	2	27	0.163299316185545
1	28	28	0.577350269189625
2	22	28	0.326598632371090
3	19	28	-0.565685424949238
4	18	28	0.326598632371090
5	12	28	0.094280904158207
6	9	28	-0.163299316185545
7	8	28	0.094280904158206
8	5	28	0.230940107675850
9	4	28	-0.163299316185545
10	3	28	0.094280904158206
1	29	29	0.577350269189625
2	23	29	0.461880215351701
3	21	29	-0.326598632371089
4	20	29	0.461880215351700
5	13	29	0.163299316185546
6	11	29	-0.133333333333332
7	10	29	0.188561808316413
8	8	29	0.094280904158207
9	7	29	-0.133333333333333
10	6	29	0.163299316185545
1	30	30	0.577350269189626
2	24	30	0.461880215351701
3	22	30	-0.461880215351700
4	21	30	0.326598632371091
5	14	30	0.163299316185546
6	12	30	-0.188561808316412
7	11	30	0.133333333333334
8	9	30	0.163299316185545
9	8	30	-0.133333333333333
10	7	30	0.094280904158206
1	31	31	0.577350269189625
2	25	31	0.565685424949237
3	24	31	-0.326598632371090
4	23	31	0.326598632371091
5	15	31	0.230940107675850
6	14	31	-0.163299316185545
7	13	31	0.163299316185546
8	12	31	0.094280904158206
9	11	31	-0.094280904158206
10	10	31	0.094280904158206
1	32	32	0.408248290463863
2	29	32	0.353553390593273
3	27	32	-0.353553390593273
4	26	32	0.500000000000000
5	23	32	0.173205080756888
6	21	32	-0.173205080756886
7	20	32	0.244948974278318
8	18	32	0.173205080756888
9	17	32	-0.244948974278318
10	16	32	0.300000000000000
11	13	32	0.040824829046387
12	11	32	-0.040824829046385
13	10	32	0.057735026918963
14	8	32	0.040824829046387
15	7	32	-0.057735026918962
16	6	32	0.070710678118655
17	4	32	-0.040824829046386
18	3	32	0.057735026918963
19	2	32	-0.070710678118655
20	1	32	0.081649658092773
1	33	33	0.408248290463863
2	30	33	0.353553390593274
3	28	33	-0.500000000000000
4	27	33	0.353553390593274
5	24	33	0.173205080756888
6	22	33	-0.244948974278317
7	21	33	0.173205080756888
8	19	33	0.300000000000000
9	18	33	-0.244948974278318
10	17	33	0.173205080756888
11	14	33	0.040824829046387
12	12	33	-0.057735026918962
13	11	33	0.040824829046387
14	9	33	0.070710678118655
15	8	33	-0.057735026918962
16	7	33	0.040824829046386
17	5	33	-0.081649658092773
18	4	33	0.070710678118655
19	3	33	-0.057735026918963
20	2	33	0.040824829046386
1	34	34	0.408248290463863
2	31	34	0.499999999999999
3	30	34	-0.353553390593273
4	29	34	0.353553390593274
5	25	34	0.299999999999999
6	24	34	-0.244948974278317
7	23	34	0.244948974278318
8	22	34	0.173205080756888
9	21	34	-0.173205080756888
10	20	34	0.173205080756888
11	15	34	0.081649658092772
12	14	34	-0.070710678118654
13	13	34	0.070710678118655
14	12	34	0.057735026918963
15	11	34	-0.057735026918962
16	10	34	0.057735026918963
17	9	34	-0.040824829046386
18	8	34	0.040824829046386
19	7	34	-0.040824829046386
20	6	34	0.040824829046386
1	35	35	0.267261241912424
2	34	35	0.356348322549899
3	33	35	-0.356348322549899
4	32	35	0.356348322549899
5	31	35	0.267261241912424
6	30	35	-0.267261241912424
7	29	35	0.267261241912425
8	28	35	0.267261241912425
9	27	35	-0.267261241912424
10	26	35	0.267261241912424
11	25	35	0.106904496764969
12	24	35	-0.106904496764969
13	23	35	0.106904496764970
14	22	35	0.106904496764970
15	21	35	-0.106904496764969
16	20	35	0.106904496764970
17	19	35	-0.106904496764970
18	18	35	0.106904496764970
19	17	35	-0.106904496764970
20	16	35	0.106904496764970
21	15	35	0.017817416127495
22	14	35	-0.017817416127495
23	13	35	0.017817416127495
24	12	35	0.017817416127495
25	11	35	-0.017817416127495
26	10	35	0.017817416127495
27	9	35	-0.017817416127495
28	8	35	0.017817416127495
29	7	35	-0.017817416127495
30	6	35	0.017817416127495
31	5	35	0.017817416127495
32	4	35	-0.017817416127495
33	3	35	0.017817416127495
34	2	35	-0.017817416127495
35	1	35	0.017817416127495
2	1	36	1.000000000000000
2	2	37	1.000000000000000
2	3	38	1.000000000000000
2	4	39	1.000000000000000
2	5	40	1.000000000000000
2	6	41	0.912870929175276
3	2	41	0.182574185835055
4	1	41	-0.365148371670111
2	7	42	0.912870929175276
3	3	42	0.258198889747161
4	2	42	-0.316227766016838
2	8	43	0.912870929175276
3	4	43	0.316227766016838
4	3	43	-0.258198889747161
2	9	44	0.912870929175276
3	5	44	0.365148371670111
4	4	44	-0.182574185835055
2	10	45	0.816496580927725
3	7	45	0.288675134594813
4	6	45	-0.500000000000000
2	11	46	0.816496580927725
3	8	46	0.408248290463863
4	7	46	-0.408248290463863
2	12	47	0.816496580927725
3	9	47	0.500000000000000
4	8	47	-0.288675134594813
2	13	48	0.707106781186547
3	11	48	0.408248290463862
4	10	48	-0.577350269189626
2	14	49	0.707106781186547
3	12	49	0.577350269189625
4	11	49	-0.408248290463863
2	15	50	0.577350269189626
3	14	50	0.577350269189625
4	13	50	-0.577350269189626
3	1	51	0.999999999999999
3	2	52	0.894427190999915
4	1	52	0.447213595499958
3	3	53	0.774596669241483
4	2	53	0.632455532033676
3	4	54	0.632455532033676
4	3	54	0.774596669241483
3	5	55	0.447213595499958
4	4	55	0.894427190999916
4	5	56	1.000000000000000
3	6	57	1.000000000000000
3	7	58	0.866025403784439
4	6	58	0.500000000000000
3	8	59	0.707106781186548
4	7	59	0.707106781186548
3	9	60	0.500000000000000
4	8	60	0.866025403784439
4	9	61	1.000000000000000
3	10	62	1.000000000000000
3	11	63	0.816496580927727
4	10	63	0.577350269189626
3	12	64	0.577350269189627
4	11	64	0.816496580927726
4	12	65	1.000000000000001
3	13	66	1.000000000000001
3	14	67	0.707106781186549
4	13	67	0.707106781186548
4	14	68	1.000000000000002
3	15	69	1.000000000000001
4	15	70	1.000000000000002
2	16	71	0.836660026534075
5	6	71	0.292770021884560
6	2	71	-0.207019667802706
7	1	71	0.414039335605413
2	17	72	0.836660026534075
5	7	72	0.292770021884560
6	3	72	-0.292770021884560
7	2	72	0.358568582800318
2	18	73	0.836660026534075
5	8	73	0.292770021884559
6	4	73	-0.358568582800318
7	3	73	0.292770021884560
2	19	74	0.836660026534074
5	9	74	0.292770021884559
6	5	74	-0.414039335605412
7	4	74	0.207019667802706
2	20	75	0.748331477354788
3	17	75	0.187082869338697
4	16	75	-0.324037034920393
5	10	75	0.370328039909020
6	7	75	-0.138873014965883
7	6	75	0.240535117721182
8	3	75	-0.092582009977255
9	2	75	0.160356745147454
10	1	75	-0.226778683805536
2	21	76	0.748331477354787
3	18	76	0.264575131106459
4	17	76	-0.264575131106459
5	11	76	0.370328039909020
6	8	76	-0.196396101212393
7	7	76	0.196396101212393
8	4	76	-0.160356745147455
9	3	76	0.185164019954510
10	2	76	-0.160356745147455
2	22	77	0.748331477354788
3	19	77	0.324037034920393
4	18	77	-0.187082869338697
5	12	77	0.370328039909020
6	9	77	-0.240535117721182
7	8	77	0.138873014965883
8	5	77	-0.226778683805536
9	4	77	0.160356745147455
10	3	77	-0.092582009977255
2	23	78	0.648074069840785
3	21	78	0.305505046330389
4	20	78	-0.432049379893857
5	13	78	0.392792202424786
6	11	78	-0.053452248382485
7	10	78	0.075592894601845
8	8	78	-0.151185789203691
9	7	78	0.213808993529939
10	6	78	-0.261861468283191
2	24	79	0.648074069840786
3	22	79	0.432049379893857
4	21	79	-0.305505046330389
5	14	79	0.392792202424786
6	12	79	-0.075592894601845
7	11	79	0.053452248382485
8	9	79	-0.261861468283191
9	8	79	0.213808993529939
10	7	79	-0.151185789203691
2	25	80	0.529150262212919
3	24	80	0.458257569495583
4	23	80	-0.458257569495584
5	15	80	0.370328039909021
6	14	80	0.065465367070798
7	13	80	-0.065465367070798
8	12	80	-0.226778683805536
9	11	80	0.226778683805536
10	10	80	-0.226778683805536
3	16	81	0.836660026534075
6	6	81	0.207019667802707
8	2	81	-0.292770021884559
9	1	81	0.414039335605413
3	17	82	0.724568837309472
4	16	82	0.418330013267038
6	7	82	0.179284291400160
7	6	82	0.103509833901353
8	3	82	-0.358568582800318
9	2	82	0.207019667802706
10	1	82	0.292770021884560
3	18	83	0.591607978309962
4	17	83	0.591607978309962
6	8	83	0.146385010942280
7	7	83	0.146385010942280
8	4	83	-0.358568582800318
10	2	83	0.358568582800318
3	19	84	0.418330013267038
4	18	84	0.724568837309472
6	9	84	0.103509833901354
7	8	84	0.179284291400159
8	5	84	-0.292770021884560
9	4	84	-0.207019667802706
10	3	84	0.358568582800318
4	19	85	0.836660026534075
7	9	85	0.207019667802706
9	5	85	-0.414039335605412
10	4	85	0.292770021884560
3	20	86	0.836660026534076
6	10	86	0.292770021884561
8	7	86	-0.292770021884559
9	6	86	0.358568582800318
3	21	87	0.683130051063974
4	20	87	0.483045891539648
6	11	87	0.239045721866880
7	10	87	0.169030850945704
8	8	87	-0.338061701891406
9	7	87	0.119522860933440
10	6	87	0.292770021884560
3	22	88	0.483045891539648
4	21	88	0.683130051063973
6	12	88	0.169030850945705
7	11	88	0.239045721866879
8	9	88	-0.292770021884559
9	8	88	-0.119522860933439
10	7	88	0.338061701891407
4	22	89	0.836660026534076
7	12	89	0.292770021884561
9	9	89	-0.358568582800318
10	8	89	0.292770021884560
3	23	90	0.836660026534076
6	13	90	0.358568582800319
8	11	90	-0.292770021884559
9	10	90	0.292770021884560
3	24	91	0.591607978309963
4	23	91	0.591607978309962
6	14	91	0.253546276418556
7	13	91	0.253546276418556
8	12	91	-0.292770021884559
10	10	91	0.292770021884560
4	24	92	0.836660026534077
7	14	92	0.358568582800320
9	12	92	-0.292770021884559
10	11	92	0.292770021884560
3	25	93	0.836660026534076
6	15	93	0.414039335605414
8	14	93	-0.292770021884559
9	13	93	0.207019667802707
4	25	94	0.836660026534077
7	15	94	0.414039335605414
9	14	94	-0.207019667802705
10	13	94	0.292770021884560
2	26	95	0.683130051063973
5	20	95	0.394405318873308
6	17	95	-0.278886675511358
7	16	95	0.483045891539647
11	10	95	0.097590007294854
12	7	95	-0.079681907288959
13	6	95	0.138013111868471
14	3	95	0.056343616981901
15	2	95	-0.097590007294853
16	1	95	0.138013111868471
2	27	96	0.683130051063973
5	21	96	0.394405318873307
6	18	96	-0.394405318873307
7	17	96	0.394405318873308
11	11	96	0.097590007294854
12	8	96	-0.112687233963802
13	7	96	0.112687233963802
14	4	96	0.097590007294853
15	3	96	-0.112687233963802
16	2	96	0.097590007294853
2	28	97	0.683130051063973
5	22	97	0.394405318873307
6	19	97	-0.483045891539648
7	18	97	0.278886675511358
11	12	97	0.097590007294853
12	9	97	-0.138013111868471
13	8	97	0.079681907288959
14	5	97	0.138013111868471
15	4	97	-0.097590007294853
16	3	97	0.056343616981901
2	29	98	0.591607978309961
3	27	98	0.197202659436654
4	26	98	-0.278886675511358
5	23	98	0.483045891539648
6	21	98	-0.161015297179883
7	20	98	0.227710017021325
8	18	98	-0.161015297179883
9	17	98	0.227710017021324
10	16	98	-0.278886675511359
11	13	98	0.146385010942280
12	11	98	-0.081325006079044
13	10	98	0.115010926557059
14	8	98	0.016265001215809
15	7	98	-0.023002185311412
16	6	98	0.028171808490951
17	4	98	0.048795003647427
18	3	98	-0.069006555934235
19	2	98	0.084515425472852
20	1	98	-0.097590007294853
2	30	99	0.591607978309961
3	28	99	0.278886675511358
4	27	99	-0.197202659436654
5	24	99	0.483045891539648
6	22	99	-0.227710017021325
7	21	99	0.161015297179883
8	19	99	-0.278886675511359
9	18	99	0.227710017021325
10	17	99	-0.161015297179883
11	14	99	0.146385010942280
12	12	99	-0.115010926557059
13	11	99	0.081325006079044
14	9	99	0.028171808490950
15	8	99	-0.023002185311412
16	7	99	0.016265001215809
17	5	99	0.097590007294853
18	4	99	-0.084515425472852
19	3	99	0.069006555934235
20	2	99	-0.048795003647427
2	31	100	0.483045891539648
3	30	100	0.341565025531986
4	29	100	-0.341565025531987
5	25	100	0.483045891539649
8	22	100	-0.278886675511359
9	21	100	0.278886675511359
10	20	100	-0.278886675511359
11	15	100	0.169030850945704
12	14	100	-0.048795003647426
13	13	100	0.048795003647426
14	12	100	-0.039840953644480
15	11	100	0.039840953644480
16	10	100	-0.039840953644480
17	9	100	0.084515425472852
18	8	100	-0.084515425472852
19	7	100	0.084515425472852
20	6	100	-0.084515425472852
3	26	101	0.683130051063973
6	20	101	0.278886675511359
8	17	101	-0.394405318873307
9	16	101	0.483045891539648
12	10	101	0.056343616981902
14	7	101	-0.079681907288958
15	6	101	0.097590007294853
17	3	101	0.097590007294854
18	2	101	-0.138013111868471
19	1	101	0.138013111868471
3	27	102	0.557773351022717
4	26	102	0.394405318873307
6	21	102	0.227710017021325
7	20	102	0.161015297179883
8	18	102	-0.455420034042648
9	17	102	0.161015297179883
10	16	102	0.394405318873308
12	11	102	0.046004370622825
13	10	102	0.032530002431618
14	8	102	-0.092008741245646
